"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
594000,8 Марта,Екатеринбург,1800,330,Универсальное помещение,https://ekaterinburg.n1.ru/view/114483375/?open_card_kn
55000,Донбасская,Екатеринбург,1222,45,Универсальное помещение,https://ekaterinburg.n1.ru/view/115549265/?open_card_kn
85000,Победы,Екатеринбург,1545,55,Универсальное помещение,https://ekaterinburg.n1.ru/view/115905668/?open_card_kn
90000,Челюскинцев,Екатеринбург,1306,68,Универсальное помещение,https://ekaterinburg.n1.ru/view/115549090/?open_card_kn
60000,Павла Шаманова,Екатеринбург,750,80,Универсальное помещение,https://ekaterinburg.n1.ru/view/114870314/?open_card_kn
45000,Академика Ландау,Екатеринбург,2500,18,Универсальное помещение,https://ekaterinburg.n1.ru/view/111972957/?open_card_kn
129900,Печатников,Екатеринбург,1578,82,Универсальное помещение,https://ekaterinburg.n1.ru/view/115901758/?open_card_kn
259000,Монтерская,Екатеринбург,1699,152,Универсальное помещение,https://ekaterinburg.n1.ru/view/115901759/?open_card_kn
280000,Декабристов,Екатеринбург,848,330,Универсальное помещение,https://ekaterinburg.n1.ru/view/115901370/?open_card_kn
200000,Пушкина,Екатеринбург,1615,123,Универсальное помещение,https://ekaterinburg.n1.ru/view/115529764/?open_card_kn
170800,Краснолесья,Екатеринбург,2000,85,Универсальное помещение,https://ekaterinburg.n1.ru/view/115529420/?open_card_kn
96500,Пехотинцев,Екатеринбург,1000,96,Универсальное помещение,https://ekaterinburg.n1.ru/view/115894723/?open_card_kn
1658435,Клубная,Екатеринбург,850,1951,Универсальное помещение,https://ekaterinburg.n1.ru/view/115894386/?open_card_kn
290000,Луначарского,Екатеринбург,805,360,Универсальное помещение,https://ekaterinburg.n1.ru/view/115894150/?open_card_kn
80000,Амундсена,Екатеринбург,1590,50,Универсальное помещение,https://ekaterinburg.n1.ru/view/114864295/?open_card_kn
15000,Машиностроителей,Екатеринбург,833,18,Универсальное помещение,https://ekaterinburg.n1.ru/view/115893555/?open_card_kn
76500,Завокзальная,Екатеринбург,850,90,Универсальное помещение,https://ekaterinburg.n1.ru/view/113018373/?open_card_kn
20000,Белинского,Екатеринбург,1666,12,Универсальное помещение,https://ekaterinburg.n1.ru/view/115893048/?open_card_kn
50000,Курчатова,Екатеринбург,684,73,Универсальное помещение,https://ekaterinburg.n1.ru/view/115892955/?open_card_kn
30000,Космонавтов,Екатеринбург,600,50,Универсальное помещение,https://ekaterinburg.n1.ru/view/115892944/?open_card_kn
18000,Кривоусова,Екатеринбург,1000,18,Универсальное помещение,https://ekaterinburg.n1.ru/view/112619785/?open_card_kn
65000,Хибиногорский переулок,Екатеринбург,866,75,Универсальное помещение,https://ekaterinburg.n1.ru/view/115892840/?open_card_kn
