"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
86100,"улица им Крупской, 2",Краснодар,470,183,Универсальное помещение,https://krasnodar-1.n1.ru/view/115823552/?open_card_kn
100000,"улица Обрывная, 131",Краснодар,625,160,Универсальное помещение,https://krasnodar-1.n1.ru/view/115470416/?open_card_kn
65000,"улица им Вавилова Н.И., 10",Краснодар,928,70,Универсальное помещение,https://krasnodar-1.n1.ru/view/115470415/?open_card_kn
250000,"улица им Энгельса, 152",Краснодар,757,330,Универсальное помещение,https://krasnodar-1.n1.ru/view/115470116/?open_card_kn
94700,"Адмиралтейский бульвар, 3",Краснодар,1000,94,Универсальное помещение,https://krasnodar-1.n1.ru/view/115820539/?open_card_kn
56000,"улица им Петра Метальникова, 36",Краснодар,1400,40,Универсальное помещение,https://krasnodar-1.n1.ru/view/115467443/?open_card_kn
390000,"улица 1 Мая, 498",Краснодар,1500,260,Универсальное помещение,https://krasnodar-1.n1.ru/view/115817875/?open_card_kn
500000,"улица им Буденного, 153",Краснодар,1470,340,Универсальное помещение,https://krasnodar-1.n1.ru/view/115463007/?open_card_kn
198380,"улица Командорская, 9",Краснодар,1400,141,Универсальное помещение,https://krasnodar-1.n1.ru/view/112519869/?open_card_kn
12000,"улица Московская, 140в",Краснодар,693,17,Универсальное помещение,https://krasnodar-1.n1.ru/view/115457445/?open_card_kn
150000,"улица Гаражная, 156",Краснодар,1271,118,Универсальное помещение,https://krasnodar-1.n1.ru/view/114395092/?open_card_kn
294500,"улица Московская, 99",Краснодар,950,310,Универсальное помещение,https://krasnodar-1.n1.ru/view/115812123/?open_card_kn
10530000,"улица им Воровского, 101",Краснодар,117000,90,Универсальное помещение,https://krasnodar-1.n1.ru/view/115812068/?open_card_kn
69000,"улица Скандинавская, 1",Краснодар,1000,69,Универсальное помещение,https://krasnodar-1.n1.ru/view/113313977/?open_card_kn
300000,"улица Имени Б.С. Кудухова, 1",Краснодар,2020,148,Универсальное помещение,https://krasnodar-1.n1.ru/view/115808883/?open_card_kn
5586750,"улица Красных Партизан, 216",Краснодар,58500,95,Универсальное помещение,https://krasnodar-1.n1.ru/view/115808758/?open_card_kn
150000,"улица Имени Евдокии Бершанской, 345",Краснодар,500,300,Универсальное помещение,https://krasnodar-1.n1.ru/view/115808757/?open_card_kn
70030,"улица Красных Партизан, 117",Краснодар,745,94,Универсальное помещение,https://krasnodar-1.n1.ru/view/115808436/?open_card_kn
372438,"улица Красных Партизан, 471",Краснодар,1045,356,Универсальное помещение,https://krasnodar-1.n1.ru/view/115808435/?open_card_kn
765600,"улица им Буденного, 178",Краснодар,2400,319,Универсальное помещение,https://krasnodar-1.n1.ru/view/115116220/?open_card_kn
490000,"улица 1 Мая, 498",Краснодар,700,700,Универсальное помещение,https://krasnodar-1.n1.ru/view/115805735/?open_card_kn
105000,"улица Сочинская, 26",Краснодар,1500,70,Универсальное помещение,https://krasnodar-1.n1.ru/view/115446809/?open_card_kn
10000,"Гаражный переулок, 14",Краснодар,416,24,Универсальное помещение,https://krasnodar-1.n1.ru/view/109734156/?open_card_kn
56250,"улица им Симиренко, 47",Краснодар,1500,37,Универсальное помещение,https://krasnodar-1.n1.ru/view/114761041/?open_card_kn
208000,"улица им. Героя Георгия Бочарникова, 4",Краснодар,1600,130,Универсальное помещение,https://krasnodar-1.n1.ru/view/112914903/?open_card_kn
111000,"улица Российская, 74",Краснодар,1500,74,Универсальное помещение,https://krasnodar-1.n1.ru/view/112914898/?open_card_kn
